Park Name,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,Average
Abraham Lincoln Birthplace NHP,"318,707","256,126","258,023","264,905","280,620","292,825","288,324","309,823","307,669","316,945","302,739","293,710","279,542","268,509","249,344","262,889","250,842","251,204","236,180","229,675","275,930"
Acadia NP,"3,572,114","4,124,639","3,734,763","3,745,570","3,929,054","4,288,154","4,502,283","5,440,952","2,339,591","2,475,857","2,382,113","2,656,034","2,710,749","2,845,378","2,704,831","2,760,306","2,594,497","2,602,227","2,469,238","2,516,551","3,219,745"
Adams NHP,"25,440","26,162","23,398","24,555","24,693","25,617","21,617","22,595","20,315","26,958","27,400","43,877","41,179","47,312","38,230","56,643","63,569","84,574","87,347","167,500","44,949"
Agate Fossil Beds NM,"9,018","10,097","10,317","10,366","10,187","11,439","11,156","11,459","14,482","13,891","18,785","19,467","18,970","18,719","16,567","20,596","17,594","18,117","17,933","17,399","14,828"
Alibates Flint Quarries NM,"2,398","1,919","2,251","2,200","2,202","2,494","2,140","3,842","3,418","3,812","3,419","3,155","3,392","2,769","3,276","3,363","3,293","3,047","3,131","2,456","2,899"
Allegheny Portage Railroad NHS,"60,069","55,148","59,635","69,523","68,990","93,289","123,622","133,324","131,735","154,816","183,473","189,009","160,394","145,307","139,446","121,841","111,100","111,391","133,396","142,340","119,392"
Amistad NRA,"1,259,668","1,221,445","1,164,338","1,139,366","1,206,669","1,219,967","1,284,606","1,321,168","1,306,474","1,215,691","1,559,659","1,505,084","1,591,903","1,422,321","1,238,990","1,084,433","1,129,811","1,164,166","1,234,506","1,097,650","1,268,396"
Andersonville NHS,"104,053","110,921","101,029","118,440","129,798","130,114","129,912","136,068","131,406","151,408","143,025","136,567","162,279","156,581","197,394","196,340","225,653","182,539","167,373","160,974","148,594"
Andrew Johnson NHS,"77,578","119,410","84,889","68,607","72,600","77,095","76,566","71,350","71,017","82,076","64,481","41,703","59,538","63,196","59,102","67,309","60,207","51,779","59,897","49,551","68,898"
Aniakchak NM & PRES,,,,,,,,853,967,"1,469","1,638","1,593","1,193",0,,,209,377,251,206,796
Antietam NB,"410,399","433,122","528,369","585,190","706,720","610,674","135,117","147,007","217,249","263,110","243,707","181,909","237,821","215,914","246,082","275,639","275,385","268,897","286,896","303,599","328,640"
Apostle Islands NL,"125,756","130,913","127,300","117,353","113,621","137,341","140,107","135,016","140,980","141,038","113,106","129,793","147,376","167,909","168,614","183,636","236,829","193,260","181,760","185,435","150,857"
Appomattox Court House NHP,"240,405","246,277","318,027","277,613","323,784","336,075","312,693","377,440","402,947","321,668","311,921","211,557","273,768","223,288","205,938","204,862","201,874","198,665","196,363","190,422","268,779"
Arches NP,"339,415","287,875","345,180","363,464","419,444","468,916","520,455","555,809","620,719","705,882","799,831","773,678","777,178","859,374","856,016","858,525","837,161","869,980","786,429","754,026","639,968"
Arkansas Post NMEM,"58,349","55,443","58,297","55,113","60,258","60,593","68,623","69,023","78,468","81,388","51,594","51,604","46,655","40,361","47,919","50,422","51,858","49,087","43,903","43,502","56,123"
Arlington House The R.E. Lee MEM,"511,982","514,863","635,748","496,848","481,546","481,121","493,031","439,009","463,467","483,440","459,660","496,526","494,048","559,509","409,143","428,347","511,200","476,911","377,011","429,470","482,144"
Assateague Island NS,"2,019,438","2,150,285","2,024,519","2,304,906","2,452,652","2,648,892","2,418,662","2,074,764","2,050,593","2,087,524","1,868,445","2,002,612","1,958,017","1,928,397","1,910,450","1,892,042","1,836,784","1,891,992","1,810,501","1,897,634","2,061,455"
Aztec Ruins NM,"60,878","61,693","58,394","58,187","62,519","65,459","79,518","86,874","80,037","89,220","93,894","82,764","80,699","72,499","65,955","61,979","63,259","58,318","52,136","46,451","69,037"
Badlands NP,"1,030,484","1,026,981","1,113,675","950,242","1,025,630","1,174,398","1,110,040","1,237,956","1,326,475","1,518,396","1,205,297","1,179,458","1,130,459","1,075,569","1,024,705","970,696","1,021,049","950,453","1,105,824","955,469","1,106,663"
Bandelier NM,"210,850","199,775","215,500","238,434","237,977","261,527","249,561","322,273","327,918","345,725","360,204","366,638","430,138","395,677","363,447","409,303","354,672","332,764","248,276","313,850","309,225"
Bent's Old Fort NHS,"44,318","40,173","38,330","42,875","44,770","41,194","41,832","45,512","43,209","47,170","48,609","44,935","44,717","38,338","37,640","38,771","41,106","36,814","30,461","30,987","41,088"
Bering Land Bridge NPRES,,,,,,,,,,,,,,,,,"3,740","3,000","3,025","3,525","3,323"
Big Bend NP,"180,144","164,926","167,665","188,045","200,622","227,921","239,595","281,728","257,378","296,470","294,535","327,907","330,417","295,460","279,454","305,882","338,442","327,649","262,320","328,927","264,774"
Big Cypress NPRES,,,,,,,,"81,157","127,790","159,172","212,682","234,830","294,307","365,463","424,920","462,553","474,895","503,110","505,062","409,771","327,362"
Big Hole NB,"41,128","46,748","37,695","34,603","39,388","32,694","43,351","50,031","43,820","54,065","64,177","62,198","65,671","64,125","50,235","51,708","64,968","62,302","40,470","56,619","50,300"
Big South Fork NRRA,,,,,,,"613,011","730,183","794,539","860,017","752,203","737,947","800,460","892,328","855,882","858,388","856,480","860,224","864,200","916,548","813,744"
Big Thicket NPRES,"43,824","33,355","81,548","77,664","66,669","62,460","71,765","102,174","77,930","64,076","72,269","82,854","127,313","115,466","111,626","77,633","60,087","60,193","62,009","98,526","77,472"
Bighorn Canyon NRA,"391,017","373,150","379,625","456,020","455,228","452,103","441,172","455,401","463,311","481,098","459,660","397,336","410,594","378,180","301,533","190,509","279,637","234,013","238,049","241,388","373,951"
Biscayne NP,"348,219","369,082","340,567","460,921","578,013","607,968","531,036","589,957","573,376","488,134","307,512","19,950","25,147","584,519","338,603","392,069","403,239","442,585","393,151","489,343","414,170"
Black Canyon of the Gunnison NP,"227,428","291,618","253,048","266,012","289,117","285,439","269,073","288,586","275,323","316,336","337,209","319,322","214,194","221,113","200,125","209,863","193,451","200,142","191,506","181,018","251,496"
Blue Ridge PKWY,"14,360,184","15,208,455","15,135,991","17,193,408","17,076,150","18,604,627","20,002,975","16,176,171","16,854,602","16,414,294","17,561,391","17,889,335","16,928,639","17,415,519","17,169,062","18,373,279","19,026,498","19,836,842","19,153,081","19,969,587","17,517,505"
Bluestone NSR,,,,,,,,,,,,"51,848","66,089","63,465","64,651","67,836","56,983","58,610","51,738","55,763","59,665"
Booker T. Washington NM,"20,461","23,007","24,972","19,644","20,859","20,588","20,070","17,571","25,060","20,887","25,983","25,894","26,210","25,704","20,134","19,172","19,226","22,623","21,435","22,692","22,110"
Boston African American NHS,,,,,,,,"102,779","194,531","232,064","341,487","328,256","467,858","358,029","345,739","365,843","384,331","391,235","393,175","390,130","330,420"
Boston NHP,"1,703,122","2,088,259","1,481,339","1,560,527","1,642,367","2,219,983","2,183,824","2,135,152","2,102,943","2,020,563","2,076,084","2,030,197","1,921,510","1,839,498","2,260,565","2,707,789","2,697,197","2,330,011","2,450,806","1,981,301","2,071,652"
Bryce Canyon NP,"471,517","472,633","495,104","500,782","578,018","718,342","791,348","808,045","862,659","929,067","1,018,174","1,107,951","1,028,134","994,548","1,269,600","1,174,824","1,166,331","1,081,521","1,099,275","1,068,619","881,825"
Buck Island Reef NM,"49,915","51,641","45,816","62,345","74,708","93,015","95,052","73,779","32,337","51,542","48,621","60,204","57,294","57,716","45,618","53,583","46,455",,,,"58,802"
Buffalo NR,"606,935","655,774","510,009","761,086","972,516","1,052,496","1,058,464","1,059,334","920,768","981,833","1,190,674","1,002,084","957,256","700,564","716,530","580,305","651,223","796,279","731,783","794,676","835,029"
Cabrillo NM,"1,466,162","1,450,605","1,461,025","1,652,089","1,687,899","1,739,363","1,608,694","1,452,501","1,386,847","1,234,781","1,300,818","1,152,220","1,119,473","1,054,946","1,047,672","1,115,458","1,095,638","1,167,486","1,136,296","1,034,753","1,318,236"
Canaveral NS,"1,072,818","1,075,321","1,181,302","931,769","1,136,380","1,037,027","1,038,035","949,201","1,079,022","1,159,001","1,032,992","1,211,492","1,432,880","1,380,438","1,496,961","1,368,632","703,301","846,512","1,115,345","1,062,962","1,115,570"
Canyon de Chelly NM,"373,526","385,992","432,073","452,286","568,989","612,831","665,283","601,107","642,189","728,305","743,806","766,670","767,368","768,163","818,667","842,169","844,958","852,048","848,348","833,202","677,399"
Canyonlands NP,"97,079","100,022","102,533","116,672","172,987","172,384","212,100","257,411","276,831","339,315","395,698","434,844","429,921","448,769","447,527","432,697","436,524","446,160","401,558","368,592","304,481"
Cape Cod NS,"4,021,111","4,595,071","4,560,713","4,374,799","3,991,213","4,941,569","5,180,970","5,020,069","5,449,380","5,442,379","5,116,923","5,154,610","5,228,594","5,141,039","4,901,782","4,608,454","4,804,185","4,915,414","4,581,169","4,391,478","4,821,046"
Cape Hatteras NS,"1,698,543","1,685,628","1,396,076","1,224,687","1,535,913","1,629,277","1,929,713","2,097,991","2,072,715","2,098,930","2,047,103","2,259,889","2,383,684","2,384,388","2,355,580","2,515,057","2,737,640","2,634,587","2,647,383","2,592,889","2,096,384"
Cape Krusenstern NM,"10,205","10,375","9,825","10,435","9,375","6,110","5,140","2,880","2,939","2,942","3,389","3,368","3,401","3,401","3,401","3,401","2,960","3,947","2,026","4,060","5,179"
Cape Lookout NS,"62,653","68,000","86,279","100,380","95,575","88,898","100,444","232,644","283,074","320,161","335,281","294,085","257,940","348,390","379,370","374,893","357,443","553,243","446,148","625,387","270,514"
Capitol Reef NP,"289,486","331,734","296,230","320,503","383,742","428,808","469,556","515,278","562,477","618,056","675,837","610,707","605,324","648,864","678,012","625,680","656,026","680,153","612,656","527,760","526,844"
Capulin Volcano NM,"44,824","39,861","39,946","43,810","46,968","38,849","47,869","43,566","53,857","62,640","61,984","54,148","56,123","65,604","64,680","65,109","70,121","65,278","62,265","60,542","54,402"
Carl Sandburg Home NHS,"50,216","46,673","48,756","53,689","61,346","55,196","57,863","55,435","54,568","65,157","54,941","56,992","54,478","48,634","42,879","41,402","37,911","36,442","35,240","34,769","49,629"
Carlsbad Caverns NP,"781,963","712,247","712,989","732,482","752,552","781,300","786,135","792,378","747,016","679,450","688,742","687,161","617,087","588,609","557,217","540,797","522,076","514,418","469,303","455,621","655,977"
Casa Grande Ruins NM,"105,190","119,229","133,680","142,252","160,936","179,915","166,782","164,011","175,025","176,910","172,345","161,886","170,572","164,753","155,941","157,447","150,715","151,185","124,130","132,630","153,277"
Castillo de San Marcos NM,"659,688","672,624","692,486","699,248","732,882","755,056","757,131","766,621","789,033","794,382","808,780","715,811","675,030","643,252","668,200","582,732","562,731","692,670","648,814","613,465","696,532"
Castle Clinton NM,"95,894","124,165","85,473","128,012","2,213,555","3,040,848","2,843,214","3,285,976","3,381,595","3,344,143","3,288,132","3,319,237","3,481,327","3,672,620","3,753,944","4,109,013","4,390,268","4,467,492","4,588,273","3,601,635","2,860,741"
Catoctin Mountain Park,"502,142","518,939","531,214","575,125","516,626","511,010","341,126","342,375","467,760","581,366","487,680","616,849","704,289","552,906","484,892","503,812","483,762","459,002","508,539","532,615","511,101"
Cedar Breaks NM,"374,695","329,268","353,092","385,381","425,732","430,559","477,493","480,276","417,330","456,001","392,628","557,824","710,981","539,060","543,760","608,399","578,974","597,460","550,657","690,652","495,011"
Chaco Culture NHP,"72,874","71,420","65,999","43,133","49,473","57,988","65,398","84,433","72,675","72,203","72,976","67,867","76,173","74,664","76,868","113,336","83,805","83,337","81,015","68,527","72,708"
Chamizal NMEM,"114,800","119,639","125,726","148,992","194,987","220,987","211,518","200,677","199,007","220,284","211,284","257,594","250,645","222,548","186,130","193,649","186,480","162,495","183,418","216,320","191,359"
Channel Islands NP,"172,287","205,024","203,411","164,132","172,913","174,607","168,592","152,662","144,083","149,263","169,181","184,867","175,226","525,882","490,715","488,757","574,270","607,057","482,571","520,428","296,296"
Charles Pinckney NHS,,,,,,,,,,,,,,"11,087","24,340","40,591","42,144","32,174","24,055","29,272","29,095"
Chattahoochee River NRA,"665,192","1,081,924","813,317","1,499,103","1,670,336","1,533,016","1,691,810","1,668,113","1,762,950","1,660,563","2,325,277","2,844,674","3,472,026","3,457,002","3,540,375","2,957,698","2,935,043","2,898,155","2,659,709","2,751,256","2,194,377"
Chesapeake & Ohio Canal NHP,"6,057,618","6,175,834","6,159,201","6,184,948","4,895,961","5,962,193","2,034,097","1,970,287","1,943,676","1,945,201","3,586,255","3,661,497","1,276,705","1,624,288","904,509","1,934,030","1,984,400","2,116,916","3,115,654","4,174,048","3,385,366"
Chickamauga & Chattanooga NMP,"906,018","1,020,953","1,102,303","1,075,504","1,157,127","1,076,260","877,104","851,534","955,084","1,002,285","995,622","1,015,945","1,015,610","1,036,777","974,898","1,008,277","1,019,503","928,124","838,350","749,913","980,360"
Chickasaw NRA,"2,094,319","2,238,456","2,026,727","2,129,513","1,983,835","1,854,417","1,884,537","1,962,353","1,600,628","1,453,032","1,385,386","1,370,475","1,446,711","1,686,136","1,551,574","1,572,079","1,615,577","1,602,065","1,389,537","1,608,792","1,722,807"
Chiricahua NM,"55,058","51,737","59,818","61,680","61,472","61,895","63,776","70,342","78,191","83,687","104,816","127,840","88,544","94,171","92,842","80,710","73,746","102,541","85,562","75,824","78,713"
Christiansted NHS,"99,531","100,936","80,475","133,603","196,053","125,326","128,226","128,656","101,859","110,626","124,512","113,883","118,067","117,766","111,891","108,825","107,223","104,081","98,947","112,915","116,170"
City of Rocks NRES,,,,,,,,,,,"97,764","84,164","80,881","77,811","67,785","72,043","60,827","72,341","66,252","68,165","74,803"
Clara Barton NHS,"12,875","13,131","16,790","17,315","21,936","18,592","23,993","35,581","55,469","16,597","9,928","8,640","10,518","13,323","11,341","12,686","11,992","10,438","13,759","17,382","17,614"
Colonial NHP,"8,518,883","2,068,928","2,504,777","2,138,188","1,990,230","2,431,687","2,472,650","2,223,181","2,308,398","2,197,903","2,188,121","2,345,401","3,296,242","3,303,324","3,145,039","3,218,180","3,122,557","3,136,262","3,153,600","3,282,461","2,952,301"
Colorado NM,"319,662","279,492","289,556","319,248","361,576","368,250","374,735","388,588","369,164","373,013","392,761","450,677","273,508","249,029","318,717","307,088","291,690","297,113","269,301","237,604","326,539"
Congaree NP,,,,"12,332","16,508","20,312","26,257","25,445","23,223","30,975","40,018","54,669","67,756","67,949","62,614","70,716","93,725","82,223","95,619","119,738","53,534"
Coronado NMEM,"43,330","33,539","39,319","44,026","53,832","55,793","69,730","56,734","56,993","61,893","69,179","78,931","86,667","92,100","93,656","87,788","90,565","87,183","84,898","89,107","68,763"
Cowpens NB,"52,502","57,842","65,511","79,732","94,513","90,786","93,604","95,020","124,858","147,555","179,361","159,553","167,831","158,175","189,434","188,369","180,727","186,373","212,876","218,361","137,149"
Crater Lake NP,"435,589","379,008","419,829","390,604","402,789","460,550","443,430","430,734","384,941","456,931","461,668","381,747","454,215","496,041","476,957","451,548","471,865","417,992","426,883","457,373","435,035"
Craters of the Moon NM & PRES,"294,387","273,693","220,801","172,503","178,332","202,800","217,022","189,317","207,766","217,879","244,806","238,508","227,918","236,008","217,586","218,036","193,304","215,567","211,642","185,799","218,184"
Cumberland Gap NHP,"632,023","718,375","719,816","729,685","788,593","776,593","760,840","887,570","897,802","951,728","962,396","975,997","954,010","1,020,369","1,051,683","1,372,951","1,317,835","1,434,425","1,520,386","887,488","968,028"
Cumberland Island NS,"38,450","32,832","32,372","30,077","28,165","27,879","30,066","35,149","36,414","36,452","39,737","38,166","40,743","40,022","43,182","49,864","45,351","44,127","43,782","45,193","37,901"
Curecanti NRA,"994,265","1,050,217","994,143","1,071,782","1,114,756","1,096,823","1,076,510","1,125,447","1,102,283","1,090,929","1,098,183","1,089,098","1,064,538","993,072","1,017,256","966,680","973,652","1,044,523","1,022,320","879,776","1,043,313"
Cuyahoga Valley NP,"717,815","939,562","1,018,828","1,004,858","1,042,148","1,113,405","1,229,717","1,159,648","1,200,622","1,358,984","1,430,382","2,266,139","3,266,401","3,195,207","3,455,878","3,527,837","3,467,107","3,324,284","3,324,918","3,123,353","2,058,355"
Dayton Aviation Heritage NHP,,,,,,,,,,,,,,,"39,262","34,706","38,308","32,882","36,038","48,489","38,281"
De Soto NMEM,"197,272","220,721","221,504","201,869","209,398","209,774","152,281","116,714","147,675","180,974","205,387","215,493","250,385","211,549","206,131","221,633","242,226","275,505","253,421","221,282","208,060"
Death Valley NP,"679,992","635,582","621,197","576,679","586,668","665,345","692,267","664,449","690,965","743,608","869,183","998,474","971,487","1,109,421","1,189,215","1,188,212","1,177,746","1,227,583","1,179,094","1,014,636","874,090"
Delaware Water Gap NRA,"2,135,790","2,293,666","2,136,212","2,186,179","2,247,087","2,546,884","2,527,862","2,434,195","2,330,419","4,275,847","4,037,407","4,167,638","4,773,659","4,726,251","4,657,735","4,752,100","5,019,175","4,953,427","4,900,745","4,867,273","3,598,478"
Denali NP & PRES,"321,868","346,082","395,099","436,545","529,749","575,013","592,431","543,640","546,693","558,870","503,674","505,565","490,311","543,309","341,385","354,278","372,519","386,867","363,983","360,191","453,404"
Devils Postpile NM,"79,999","73,612","97,809","108,678","89,518","118,913","116,819","125,623","158,662","145,439","90,152","134,653","105,854","105,230","123,364","142,739","121,108","152,642","147,983","155,478","119,714"
Devils Tower NM,"264,303","267,276","219,855","216,787","290,532","328,012","343,147","349,216","428,948","456,712","457,259","426,457","454,776","420,528","436,591","389,137","399,064","395,892","383,468","375,596","365,178"
Dinosaur NM,"396,938","427,375","493,140","418,187","430,891","412,089","474,452","436,303","450,368","447,781","480,412","534,274","480,576","496,509","464,133","446,624","420,295","410,742","397,069","326,373","442,227"
Dry Tortugas NP,"10,700","11,004","11,900","13,213","15,379","16,315","16,937","19,441","19,402","18,231","21,581","24,020","16,736","32,870","35,127","47,224","60,136","74,186","83,704","79,186","31,365"
Edgar Allan Poe NHS,"12,595","13,858","18,178","15,254","12,365","11,684","14,160","12,239","11,638","13,034","16,058","13,823","14,789","13,443","15,549","17,632","13,965","16,796",630,"12,552","13,512"
Effigy Mounds NM,"94,305","99,562","92,793","93,074","87,764","87,634","101,565","109,665","108,522","125,697","128,942","89,434","99,838","75,090","93,894","76,573","70,559","80,414","77,563","79,846","93,637"
Eisenhower NHS,"148,800","145,351","138,095","136,935","131,634","118,346","118,231","113,847","116,936","109,262","108,113","96,039","112,829","96,481","84,465","74,395","76,825","73,347","76,921","74,826","107,584"
El Malpais NM,,,,,,,"23,546","52,554","78,993","69,119","75,916","90,316","101,492","100,366","101,158","105,707","95,001","109,008","76,557","118,374","85,579"
El Morro NM,"29,933","29,278","33,125","47,299","54,941","56,426","61,178","67,256","69,343","69,439","81,475","80,470","87,548","83,564","82,655","80,146","79,953","80,529","67,707","68,886","65,558"
Eleanor Roosevelt NHS,,,,"30,712","30,313","28,814","29,158","36,466","42,833","77,632","89,363","90,136","82,999","84,879","93,998","85,226","85,347","65,703","76,958","86,012","65,679"
Eugene O'Neill NHS,,,,"2,814","2,639","3,529","4,218","3,129","3,654","3,282","3,692","3,007","3,031","3,112","3,440","3,497","3,616","3,400","3,579","3,510","3,362"
Everglades NP,"550,168","577,439","628,658","697,646","739,072","787,493","1,026,188","913,372","957,925","1,292,014","1,025,686","973,706","886,455","820,466","890,167","989,532","1,118,215","1,073,982","995,390","1,049,851","899,671"
Federal Hall NMEM,"112,387","115,358","157,217","245,148","466,394","344,852","333,673","273,784","289,382","179,180","131,350","127,700","169,420","198,913","259,932","205,487","251,975","211,482","241,897","203,816","225,967"
Fire Island NS,"539,150","531,183","524,757","552,542","522,672","570,507","537,282","589,474","683,962","763,181","657,996","639,741","688,974","348,788","385,706","534,888","558,479","559,764","600,333","661,692","572,554"
Florissant Fossil Beds NM,"49,577","51,309","54,845","93,990","127,430","143,597","155,012","161,740","94,844","73,075","87,969","81,508","100,333","91,434","91,278","86,488","79,779","81,510","82,094","79,669","93,374"
Ford's Theatre NHS,"619,669","704,440","765,739","769,780","786,153","827,775","883,448","781,697","940,372","853,469","854,789","942,106","996,379","1,025,989","995,416","1,054,482","1,220,391","1,159,435","1,164,176","1,224,540","928,512"
Fort Bowie NHS,"5,055","4,912","5,044","5,635","7,364","6,772","7,209","7,564","7,592","8,159","9,237","9,192","11,022","10,574","10,666","9,623","9,168","9,390","8,898","8,858","8,097"
Fort Caroline NMEM,"151,607","140,461","145,137","164,145","135,883","84,457","82,960","91,675","100,897","132,438","130,028","129,646","161,991","124,405","122,565","130,386","129,301","176,230","189,948","195,303","135,973"
Fort Davis NHS,"74,988","71,334","69,004","68,410","63,918","52,237","54,703","55,026","56,547","66,711","73,037","71,249","69,129","61,032","64,560","62,191","64,846","60,419","54,988","56,946","63,564"
Fort Donelson NB,"233,631","280,644","261,960","300,404","327,942","292,132","285,145","277,675","285,714","206,528","218,896","207,503","207,332","216,433","217,178","221,923","225,854","225,604","219,049","226,390","246,897"
Fort Frederica NM,"233,710","254,739","252,159","231,010","262,653","276,136","257,109","297,065","304,189","322,439","322,688","334,267","326,018","299,986","308,819","335,009","279,251","281,437","244,162","290,705","285,678"
Fort Laramie NHS,"94,936","97,090","89,745","81,531","86,110","85,236","78,965","65,302","66,892","66,135","74,329","93,954","79,746","59,281","54,402","67,493","53,159","56,065","47,298","44,376","72,102"
Fort Larned NHS,"24,419","60,788","67,292","58,625","55,138","43,565","48,012","42,735","38,399","46,816","52,958","47,413","46,125","48,310","45,985","43,563","43,530","42,572","40,001","35,581","46,591"
Fort Matanzas NM,"247,694","250,790","301,115","333,170","368,794","360,278","330,628","383,003","372,079","343,864","346,779","387,876","487,195","451,490","455,402","537,642","506,212","579,385","636,348","682,480","418,111"
Fort McHenry NM & HS,"685,443","723,297","772,531","795,752","810,114","546,360","575,992","591,376","561,800","563,042","587,841","518,439","575,747","603,976","610,932","661,141","684,724","682,012","690,781","646,775","644,404"
Fort Necessity NB,"139,511","134,187","166,539","140,199","155,233","142,498","135,497","167,945","182,104","209,360","173,969","145,301","102,050","107,903","96,103","88,307","97,797","85,438","93,860","89,133","132,647"
Fort Point NHS,"1,222,873","961,394","1,176,135","1,075,004","1,274,667","1,796,755","1,427,958","1,292,627","1,335,888","1,351,535","1,366,393","1,479,512","1,506,306","1,403,993","1,483,089","1,648,450","1,669,608","1,682,903","1,607,726","1,203,023","1,398,292"
Fort Pulaski NM,"278,463","291,318","365,084","381,616","480,859","381,468","284,228","461,730","342,107","373,787","363,979","344,963","338,461","313,879","343,706","355,040","361,104","358,710","354,900","357,953","356,668"
Fort Raleigh NHS,"300,353","359,761","389,893","272,832","259,622","282,944","287,379","279,977","289,411","282,468","289,361","327,450","324,179","288,674","308,348","354,977","357,928","305,305","244,750","267,464","303,654"
